x,y,total SAXS intensity,total_SAXS_norm_0_1,area under third order curve,collagen_third_norm_0_1,percentage_above_baseline,max_recorded_intensity,firstmoment,D_period,secondmoment,thirdmoment,skewness,q0,deltaq0,wMu,firstmoment_lu,secondmoment_lu,thirdmoment_lu,skewness_lu,D_period_lu,peak_width,wp,peak_amplitude,fibril_radius
32,0,2.226694,0.636241,0.004463,0.668576637325443,93.83616945263537,0.5304847281381804,0.290736,64.83392466546543,0.0846,0.0246,-1.108847,0.29,0.00475,0.0751020408163265,0.290736,0.0846,0.024596,0.031405,64.99846869496125,0.00475,0.021779591836734682,1,122.43878060969521
33,0,2.77289,0.824982,0.006523,0.977173516754171,93.61534253263437,0.7620246307525704,0.289541,65.10150866902706,0.0839,0.024295,-0.478489,0.285,0.002125,0.1816326530612245,0.289542,0.0839,0.024313,2.269512,66.13879270715356,0.002125,0.05176530612244898,1,51.51455417570143
34,0,2.805827,0.836363,0.007173,1.0,97.21869166892198,0.8057961419090951,0.290675,64.84753047747057,0.0845,0.024578,-0.558669,0.29,0.002125,0.0691836734693877,0.290676,0.0845,0.024565,0.196575,64.99846869496125,0.002125,0.02006326530612243,1,132.91289458515593
35,0,3.001485,0.903974,0.007154,1.0,95.17558389484763,0.9161442907702706,0.289338,65.14718399082997,0.0837,0.024236,-1.08991,0.288,0.004,0.0987755102040816,0.289337,0.0837,0.024239,0.22351,65.44984694978736,0.004,0.028447346938775497,1,93.7404346495256
36,0,3.092027,0.935261,0.008641,1.0,96.83530074130417,1.0355273971251773,0.290272,64.9375617405012,0.0843,0.024473,-0.831717,0.29,0.002875,0.0455102040816326,0.290272,0.0843,0.024465,0.007542,64.99846869496125,0.002875,0.013197959183673454,1,202.05144064738954
37,0,3.038257,0.91668,0.010085,1.0,98.85268900427481,1.1772746461744106,0.290337,64.92302366401374,0.0843,0.024491,-0.301556,0.29,0.003625,0.0514285714285714,0.290338,0.0843,0.024486,0.007524,64.99846869496125,0.003625,0.014914285714285705,1,178.79948914431682
38,0,3.120593,0.945132,0.008765,1.0,97.84431692525345,1.045560433243907,0.289894,65.02223544308872,0.0841,0.024378,-0.893538,0.288,0.00325,0.1165306122448979,0.289893,0.0841,0.024378,0.707641,65.44984694978736,0.00325,0.033560816326530594,1,79.45774145423886
39,0,2.63654,0.777865,0.003692,0.5530775140052735,90.27348500685952,0.5323684275395855,0.29005,64.98726399427258,0.0841,0.024418,-1.69797,0.289,0.00325,0.086938775510204,0.290048,0.0841,0.024412,0.204638,65.22337689113758,0.00325,0.025125306122448954,1,106.13469359022271
40,0,1.839745,0.502529,0.000559,0.08374060951488298,66.51120507202721,0.10571345738968851,0.291503,64.6633342419761,0.085,0.024815,-1.353949,0.287,0.005125,0.1816326530612245,0.291502,0.085,0.024828,1.245804,65.67789519699916,0.005125,0.05212857142857143,1,51.155567735452635
41,0,1.037803,0.225414,4.4e-05,0.006591389657700984,56.36812286622018,0.027362616435400944,0.284986,66.14204178990812,0.0814,0.023268,0.404513,0.279,0.01,0.2171428571428571,0.284973,0.0814,0.023291,0.70757,67.56113233526436,0.01,0.06058285714285714,1,44.01685216625794
