sample no,fname,ix,iy,totalint,totalcoll,region,center,rho_new,Dnew2,wa2,wdist2,Diameter2,Group,Sample,State,zone
599112,37_0.txt,0,37,0.043814,0.011748,dz,83.428415,5.299578,66.86131,0.002209,0.690804,33.704374,untreated,control,unloaded,AC
599112,37_1.txt,1,37,0.045441,0.010769,dz,82.394219,5.732854,66.904398,0.002334,0.725264,33.095648,untreated,control,unloaded,AC
599112,37_10.txt,10,37,0.04864,0.013052,dz,82.638133,5.998298,66.892362,0.002189,0.523159,33.818889,untreated,control,unloaded,AC
599112,37_11.txt,11,37,0.047815,0.012503,dz,81.953091,5.998407,66.902068,0.001967,0.624212,33.145932,untreated,control,unloaded,AC
599112,37_12.txt,12,37,0.048579,0.012789,dz,81.759758,5.604149,66.878605,0.002287,0.464584,33.440993,untreated,control,unloaded,AC
599112,37_2.txt,2,37,0.046362,0.012341,dz,81.559475,5.898893,66.934207,0.002284,0.701254,32.92953,untreated,control,unloaded,AC
599112,37_3.txt,3,37,0.045794,0.010989,dz,82.293389,5.833866,66.895309,0.002174,0.624212,33.1778,untreated,control,unloaded,AC
599112,37_4.txt,4,37,0.046625,0.012086,dz,81.95848,5.70908,66.841716,0.00218,0.725265,33.374488,untreated,control,unloaded,AC
599112,37_5.txt,5,37,0.045818,0.012432,dz,83.05256,5.321571,66.861866,0.002135,0.725265,33.3468,untreated,control,unloaded,AC
599112,37_6.txt,6,37,0.047397,0.012191,dz,81.902507,5.592094,66.851668,0.002199,0.699195,34.356711,untreated,control,unloaded,AC
599112,37_7.txt,7,37,0.046333,0.011208,dz,81.575063,6.107967,66.915653,0.002294,0.624212,32.550699,untreated,control,unloaded,AC
599112,37_8.txt,8,37,0.048303,0.012185,dz,81.575253,5.834716,66.881608,0.002371,0.624212,33.694858,untreated,control,unloaded,AC
599112,37_9.txt,9,37,0.051051,0.012479,dz,82.012201,6.07992,66.908735,0.001955,0.72526,33.261489,untreated,control,unloaded,AC
599112,38_0.txt,0,38,0.04376,0.012364,dz,81.890117,6.268465,66.848646,0.002167,0.523159,35.452652,untreated,control,unloaded,AC
599112,38_1.txt,1,38,0.044718,0.011491,dz,82.277832,5.999093,66.872899,0.00207,0.394098,33.470425,untreated,control,unloaded,AC
599112,38_10.txt,10,38,0.047895,0.013489,dz,82.832085,6.605053,66.946679,0.002097,0.327403,31.974358,untreated,control,unloaded,AC
